1,"Martin Luther King, Jr.",19290115,ENFJ,USA,Man,Cleric,[Let us create a] society that will help men rise from the dark depths of prejudice and racism to the majestic heights of understanding and brotherhood.
2,Nelson Mandela,19180718,ENFJ,RSA,Man,Politician,"Let it never be said by future generations that indifference, cynicism or selfishness made us fail to live up to [our] ideals."
3,dummy,20190606,DDDD,dummy,Woman,dummy,
4,dummy,20190606,DDDD,dummy,Woman,dummy,
5,dummy,20190606,DDDD,dummy,Woman,dummy,
6,dummy,20190606,DDDD,dummy,Woman,dummy,
7,dummy,20190606,DDDD,dummy,Woman,dummy,
8,dummy,20190606,DDDD,dummy,Man,dummy,
9,dummy,20190606,DDDD,dummy,Man,dummy,
10,dummy,20190606,DDDD,dummy,Woman,dummy,
11,dummy,20190606,DDDD,dummy,Man,dummy,
12,dummy,20190606,DDDD,dummy,Woman,dummy,
13,dummy,20190606,DDDD,dummy,Woman,dummy,
14,dummy,20190606,DDDD,dummy,Woman,dummy,
15,dummy,20190606,DDDD,dummy,Man,dummy,
16,dummy,20190606,DDDD,dummy,Woman,dummy,
17,dummy,20190606,DDDD,dummy,Man,dummy,
18,dummy,20190606,DDDD,dummy,Man,dummy,
19,dummy,20190606,DDDD,dummy,Man,dummy,
20,dummy,20190606,DDDD,dummy,Man,dummy,
21,dummy,20190606,DDDD,dummy,Woman,dummy,
22,dummy,20190606,DDDD,dummy,Man,dummy,
23,dummy,20190606,DDDD,dummy,Man,dummy,
24,dummy,20190606,DDDD,dummy,Woman,dummy,
25,dummy,20190606,DDDD,dummy,Woman,dummy,
26,dummy,20190606,DDDD,dummy,Man,dummy,
27,dummy,20190606,DDDD,dummy,Man,dummy,
28,Randy Jackson,19560623,ESFJ,USA,Man,Artist,"[Even though I'm famous] I don't need to watch myself on TV, like some others."
29,dummy,20190606,DDDD,dummy,Woman,dummy,
30,dummy,20190606,DDDD,dummy,Man,dummy,
31,dummy,20190606,DDDD,dummy,Woman,dummy,
32,dummy,20190606,DDDD,dummy,Man,dummy,
33,dummy,20190606,DDDD,dummy,Man,dummy,
34,dummy,20190606,DDDD,dummy,Woman,dummy,
35,dummy,20190606,DDDD,dummy,Woman,dummy,
36,dummy,20190606,DDDD,dummy,Man,dummy,
37,dummy,20190606,DDDD,dummy,Man,dummy,
38,dummy,20190606,DDDD,dummy,Man,dummy,
39,dummy,20190606,DDDD,dummy,Man,dummy,
40,dummy,20190606,DDDD,dummy,Man,dummy,
41,dummy,20190606,DDDD,dummy,Woman,dummy,
42,dummy,20190606,DDDD,dummy,Woman,dummy,
43,dummy,20190606,DDDD,dummy,Man,dummy,
44,dummy,20190606,DDDD,dummy,Man,dummy,
45,dummy,20190606,DDDD,dummy,Man,dummy,
46,dummy,20190606,DDDD,dummy,Woman,dummy,
47,dummy,20190606,DDDD,dummy,Man,dummy,
48,dummy,20190606,DDDD,dummy,Woman,dummy,
49,dummy,20190606,DDDD,dummy,Man,dummy,
50,dummy,20190606,DDDD,dummy,Woman,dummy,
51,dummy,20190606,DDDD,dummy,Man,dummy,
52,dummy,20190606,DDDD,dummy,Woman,dummy,
53,dummy,20190606,DDDD,dummy,Man,dummy,
54,dummy,20190606,DDDD,dummy,Woman,dummy,
55,Ian Curtis,19560715,INFP,UK,Man,Artist,I prefer to think of everyone as an individual.
56,dummy,20190606,DDDD,dummy,Woman,dummy,
57,dummy,20190606,DDDD,dummy,Man,dummy,
58,dummy,20190606,DDDD,dummy,Woman,dummy,
59,dummy,20190606,DDDD,dummy,Woman,dummy,
60,dummy,20190606,DDDD,dummy,Woman,dummy,
61,dummy,20190606,DDDD,dummy,Woman,dummy,
62,dummy,20190606,DDDD,dummy,Woman,dummy,
63,dummy,20190606,DDDD,dummy,Woman,dummy,
64,Lady Gaga,19860328,ISFP,USA,Woman,Artist,You have to be unique and different and shine in your own way.
65,dummy,20190606,DDDD,dummy,Man,dummy,
66,dummy,20190606,DDDD,dummy,Woman,dummy,
67,dummy,20190606,DDDD,dummy,Man,dummy,
68,dummy,20190606,DDDD,dummy,Woman,dummy,
69,dummy,20190606,DDDD,dummy,Man,dummy,
70,dummy,20190606,DDDD,dummy,Woman,dummy,
71,dummy,20190606,DDDD,dummy,Man,dummy,
72,dummy,20190606,DDDD,dummy,Woman,dummy,
73,dummy,20190606,DDDD,dummy,Woman,dummy,
74,dummy,20190606,DDDD,dummy,Man,dummy,
75,Daisy Ridley,19920410,ESTJ,UK,Woman,Artist,"I'm quite a together person, and I value the right things."
76,dummy,20190606,DDDD,dummy,Man,dummy,
77,dummy,20190606,DDDD,dummy,Man,dummy,
78,dummy,20190606,DDDD,dummy,Woman,dummy,
79,dummy,20190606,DDDD,dummy,Man,dummy,
80,dummy,20190606,DDDD,dummy,Woman,dummy,
81,dummy,20190606,DDDD,dummy,Man,dummy,
82,dummy,20190606,DDDD,dummy,Woman,dummy,
83,dummy,20190606,DDDD,dummy,Man,dummy,
84,dummy,20190606,DDDD,dummy,Woman,dummy,
85,dummy,20190606,DDDD,dummy,Woman,dummy,
86,dummy,20190606,DDDD,dummy,Man,dummy,
87,dummy,20190606,DDDD,dummy,Man,dummy,
88,dummy,20190606,DDDD,dummy,Man,dummy,
89,dummy,20190606,DDDD,dummy,Woman,dummy,
90,dummy,20190606,DDDD,dummy,Man,dummy,
91,dummy,20190606,DDDD,dummy,Woman,dummy,
92,Sam Walton,19180329,ESFJ,USA,Man,Businessman,I'm a friendly fellow by nature.
93,Shania Twain,19650828,ESFJ,Canada,Woman,Artist,Empowering women - that's the message I'd like to send. I think all women should be powerful.
94,dummy,20190606,DDDD,dummy,Woman,dummy,
95,dummy,20190606,DDDD,dummy,Man,dummy,
96,dummy,20190606,DDDD,dummy,Woman,dummy,
97,dummy,20190606,DDDD,dummy,Woman,dummy,
98,dummy,20190606,DDDD,dummy,Woman,dummy,
99,dummy,20190606,DDDD,dummy,Woman,dummy,
100,dummy,20190606,DDDD,dummy,Woman,dummy,
101,Rick Santorum,19580510,ESFJ,USA,Man,Politician,I'm very comfortable that I've got a record that is exactly in line with the people of my state.
102,dummy,20190606,DDDD,dummy,Woman,dummy,
103,dummy,20190606,DDDD,dummy,Woman,dummy,
104,dummy,20190606,DDDD,dummy,Woman,dummy,
105,Gal Gadot,19850430,ESFJ,Israel,Woman,Artist,"Kindness and warmth and acceptance and love. If each and every one of us will have more of that, we will have a better society."
106,dummy,20190606,DDDD,dummy,Man,dummy,
107,dummy,20190606,DDDD,dummy,Man,dummy,
108,dummy,20190606,DDDD,dummy,Woman,dummy,
109,dummy,20190606,DDDD,dummy,Woman,dummy,
110,dummy,20190606,DDDD,dummy,Woman,dummy,
111,dummy,20190606,DDDD,dummy,Man,dummy,
112,Pamela Anderson,19670701,ISFP,Canada,Man,Artist,"Tattoos are like stories - they're symbolic of the important moments in your life. Sitting down, talking about where you got each tattoo and what it symbolizes, is really beautiful."
113,dummy,20190606,DDDD,dummy,Man,dummy,
114,dummy,20190606,DDDD,dummy,Man,dummy,
115,dummy,20190606,DDDD,dummy,Man,dummy,
116,dummy,20190606,DDDD,dummy,Man,dummy,
117,dummy,20190606,DDDD,dummy,Man,dummy,
118,dummy,20190606,DDDD,dummy,Woman,dummy,
119,dummy,20190606,DDDD,dummy,Woman,dummy,
120,dummy,20190606,DDDD,dummy,Woman,dummy,
121,dummy,20190606,DDDD,dummy,Woman,dummy,
122,dummy,20190606,DDDD,dummy,Woman,dummy,
123,dummy,20190606,DDDD,dummy,Woman,dummy,
124,dummy,20190606,DDDD,dummy,Woman,dummy,
125,Dalai Lama XIV,19350706,ISTP,China,Man,Cleric,"As a child I liked to disassemble things; radios, clocks, and the like. I took them apart to see how they worked."
126,dummy,20190606,DDDD,dummy,Man,dummy,
127,dummy,20190606,DDDD,dummy,Man,dummy,
128,dummy,20190606,DDDD,dummy,Man,dummy,
129,dummy,20190606,DDDD,dummy,Woman,dummy,
130,dummy,20190606,DDDD,dummy,Man,dummy,
131,dummy,20190606,DDDD,dummy,Man,dummy,
132,Bill Watterson,19580705,INFP,USA,Man,Artist,"[Doing everything myself] kept the strip very honest and personal - everything having to do with Calvin and Hobbes expressed my own ideas, my own values, my own way."
133,dummy,20190606,DDDD,dummy,Man,dummy,
134,dummy,20190606,DDDD,dummy,Man,dummy,
135,dummy,20190606,DDDD,dummy,Man,dummy,
136,dummy,20190606,DDDD,dummy,Man,dummy,
137,dummy,20190606,DDDD,dummy,Man,dummy,
138,dummy,20190606,DDDD,dummy,Man,dummy,
139,dummy,20190606,DDDD,dummy,Woman,dummy,
140,dummy,20190606,DDDD,dummy,Woman,dummy,
141,dummy,20190606,DDDD,dummy,Woman,dummy,
142,dummy,20190606,DDDD,dummy,Woman,dummy,
143,dummy,20190606,DDDD,dummy,Woman,dummy,
144,dummy,20190606,DDDD,dummy,Man,dummy,
145,dummy,20190606,DDDD,dummy,Woman,dummy,
146,dummy,20190606,DDDD,dummy,Man,dummy,
147,dummy,20190606,DDDD,dummy,Man,dummy,
148,Justin Timberlake,19810131,ISFP,USA,Man,Artist,"Every relationship I've been in, I've overwhelmed the girl. They just can't handle all the love."
149,dummy,20190606,DDDD,dummy,Woman,dummy,
150,dummy,20190606,DDDD,dummy,Woman,dummy,
151,dummy,20190606,DDDD,dummy,Man,dummy,
152,dummy,20190606,DDDD,dummy,Man,dummy,
153,dummy,20190606,DDDD,dummy,Man,dummy,
154,dummy,20190606,DDDD,dummy,Woman,dummy,
155,dummy,20190606,DDDD,dummy,Man,dummy,
156,dummy,20190606,DDDD,dummy,Woman,dummy,
157,dummy,20190606,DDDD,dummy,Man,dummy,
158,dummy,20190606,DDDD,dummy,Woman,dummy,
159,dummy,20190606,DDDD,dummy,Man,dummy,
160,dummy,20190606,DDDD,dummy,Woman,dummy,
161,dummy,20190606,DDDD,dummy,Woman,dummy,
162,dummy,20190606,DDDD,dummy,Woman,dummy,
163,dummy,20190606,DDDD,dummy,Man,dummy,
164,dummy,20190606,DDDD,dummy,Woman,dummy,
165,dummy,20190606,DDDD,dummy,Man,dummy,
166,dummy,20190606,DDDD,dummy,Woman,dummy,
167,dummy,20190606,DDDD,dummy,Man,dummy,
168,dummy,20190606,DDDD,dummy,Woman,dummy,
169,dummy,20190606,DDDD,dummy,Man,dummy,
170,dummy,20190606,DDDD,dummy,Woman,dummy,
171,dummy,20190606,DDDD,dummy,Woman,dummy,
172,dummy,20190606,DDDD,dummy,Woman,dummy,
173,Tom Clancy,19470412,ESTJ,USA,Man,Author,"Terrorism ... is an annoyance [like] a mosquito. ... A mosquito is an annoyance, but you can swat it."
174,Annie Clark,19820928,INTJ,USA,Woman,Artist,I'm trying to create a world that I wish existed as a form of subverting the world as it does exist.
175,dummy,20190606,DDDD,dummy,Woman,dummy,
176,dummy,20190606,DDDD,dummy,Man,dummy,
177,dummy,20190606,DDDD,dummy,Woman,dummy,
178,dummy,20190606,DDDD,dummy,Woman,dummy,
179,dummy,20190606,DDDD,dummy,Woman,dummy,
180,dummy,20190606,DDDD,dummy,Man,dummy,
181,dummy,20190606,DDDD,dummy,Man,dummy,
182,dummy,20190606,DDDD,dummy,Man,dummy,
183,dummy,20190606,DDDD,dummy,Woman,dummy,
184,dummy,20190606,DDDD,dummy,Man,dummy,
185,dummy,20190606,DDDD,dummy,Man,dummy,
186,dummy,20190606,DDDD,dummy,Woman,dummy,
187,dummy,20190606,DDDD,dummy,Woman,dummy,
188,Mary Wollstonecraft,17590427,INFJ,UK,Man,Author,I am a strange compound of weakness and resolution!
189,dummy,20190606,DDDD,dummy,Man,dummy,
190,dummy,20190606,DDDD,dummy,Woman,dummy,
191,dummy,20190606,DDDD,dummy,Man,dummy,
192,dummy,20190606,DDDD,dummy,Woman,dummy,
193,dummy,20190606,DDDD,dummy,Woman,dummy,
194,dummy,20190606,DDDD,dummy,Man,dummy,
195,dummy,20190606,DDDD,dummy,Man,dummy,
196,dummy,20190606,DDDD,dummy,Man,dummy,
197,dummy,20190606,DDDD,dummy,Man,dummy,
198,dummy,20190606,DDDD,dummy,Man,dummy,
199,dummy,20190606,DDDD,dummy,Woman,dummy,
200,dummy,20190606,DDDD,dummy,Woman,dummy,
201,dummy,20190606,DDDD,dummy,Man,dummy,
202,dummy,20190606,DDDD,dummy,Man,dummy,
203,dummy,20190606,DDDD,dummy,Woman,dummy,
204,dummy,20190606,DDDD,dummy,Woman,dummy,
205,dummy,20190606,DDDD,dummy,Woman,dummy,
206,dummy,20190606,DDDD,dummy,Woman,dummy,
207,dummy,20190606,DDDD,dummy,Woman,dummy,
208,dummy,20190606,DDDD,dummy,Woman,dummy,
209,dummy,20190606,DDDD,dummy,Man,dummy,
210,dummy,20190606,DDDD,dummy,Woman,dummy,
211,dummy,20190606,DDDD,dummy,Man,dummy,
212,dummy,20190606,DDDD,dummy,Woman,dummy,
213,dummy,20190606,DDDD,dummy,Man,dummy,
