1,"Martin Luther King, Jr.",19290115,ENFJ,USA,Man,Cleric,[Let us create a] society that will help men rise from the dark depths of prejudice and racism to the majestic heights of understanding and brotherhood.
2,Nelson Mandela,19180718,ENFJ,RSA,Man,Politician,"Let it never be said by future generations that indifference, cynicism or selfishness made us fail to live up to [our] ideals."
3,John Paul II,19200518,ENFJ,Poland,Man,Cleric,"I hope to have communion with the people, that is the most important thing."
4,Johann von Goethe,17490828,ENFJ,Germany,Man,Author,It [is] natural to me to empathize with the condition of others [and to] sympathize with it with pleasure.
5,Sheryl Sandberg,19690828,ENFJ,USA,Woman,Businessman,I completely understand that the [gender equality] debate is heated and emotional ... and I am actually grateful for this [because] there is never any change without heated debate.
6,Erasmus of Rotterdam,14661028,ENFJ,Nederland,Man,Scholar,The truth is often lost while quarreling and is discovered with greater certainty without it.
7,Mikhail Gorbachev,19310302,ENFJ,Russia,Man,Politician,Peace means an ascent ... to cooperation and common creativity among nations. ... Never before has the idea that peace is indivisible been so true as it is now.
8,Joe Biden,19421120,ENFJ,USA,Man,Politician,[A fundamental] part of being a public servant [is] absorbing the anger of people who don't know where to turn.
9,Justin Trudeau,19711225,ENFJ,Canada,Man,Politician,"I'm a teacher, I'm a convenor, I'm a gatherer. I'm someone who reaches out to people and is deeply interested in what they have to say."
10,Tony Blair,19530506,ENFJ,UK,Man,Politician,[With Africa] I fear the judgment of future generations. ... I feel that judgment of the future alongside the now. It gives me urgency. It fills me with determination.
11,Matthieu Ricard,19460215,ENFJ,France,Man,Author,"The point [of my work] is to ... make [you] more peaceful, more altruistic, and more emotionally balanced."
12,Daniel Goleman,19460307,ENFJ,USA,Man,Author,"In a very real sense we have two minds, one that thinks and one that feels."
13,Alfred Adler,18700207,ENFJ,Austria,Man,Expert,"Meanings are not determined by situations, but we determine ourselves by the meanings we give to situations."
14,Erich Fromm,19000323,ENFJ,Germany,Man,Scholar,All men are in need of help and depend on one another. Human solidarity is the necessary condition for the unfolding of any one individual.
15,Maya Angelou,19280404,ENFJ,USA,Woman,Author,The desire to reach the stars is ambitious. The desire to reach hearts is wise and most possible.
16,Vaclav Havel,19361005,ENFJ,Czech,Man,Politician,[We should all] desire to contribute to the happiness of the community.
17,Neil deGrasse Tyson,19581005,ENFJ,USA,Man,Scholar,"[We should] not only teach people what science is and what it does, but also why it should mean something to them, and why it matters to society and everything that we hold dear."
18,Yasser Arafat,19290824,ENFJ,Egypt,Man,Politician,We shall discover ourselves in peace more than we have with war and confrontation.
19,Joseph Goebbels,18971029,ENFJ,Germany,Man,Politician,"To be a [national] socialist means to let the ego serve the neighbor, to sacrifice the self for the whole. In its deepest sense, socialism equals service. The individual refrains and the commonwealth commands."
20,Oprah Winfrey,19540129,ENFJ,USA,Woman,Broadcaster,"You create your own reality by the way you think and therefore act. You cannot blame ... your circumstances, because you are not your circumstances. You are your possibilities."
21,Charlie Rose,19420105,ENFJ,USA,Man,Critic,[In my work] I wanted viewers to feel like they were eavesdropping on [an intimate] conversation each night.
22,Nigella Lawson,19600106,ENFJ,UK,Woman,Expert,It's always struck me how we express what we feel about each other through food. Food obviously plays a very big part in many world religions. I think even the most prosaic or fact-led person can't help but feel aware of the symbolic value of food.
23,Bono,19600510,ENFJ,Ireland,Man,Artist,"It's an amazing thing to think that ours is the first generation in history that really can end extreme poverty [but] we let our own pathetic excuses ... justify [us]. We have the ... wealth. What we don't have is the will, and that's not a reason that history will accept."
24,Reese Witherspoon,19760322,ENFJ,USA,Woman,Artist,I've worked so hard to create characters that have dignity. And I think everybody knows that I have a very pro-woman message in my work - and in my life.
25,Kate Winslet,19751005,ENFJ,UK,Woman,Artist,"My feeling about why I like making films is you can come away from a film feeling so changed and touched. I really love that, the thought that I could be giving people a lot."
26,Helena Bonham Carter,19660526,ENFJ,UK,Woman,Artist,"I enjoy those small chats you have when people come up and talk to you about your work. It only involves a few seconds of effort to be nice to those people, and I am very grateful for the kind words."
27,Bradley Cooper,19750105,ENFJ,USA,Man,Artist,I try to stay in a place of gratitude every day. In order to do that I think perspective is involved.
28,Jennifer Lawrence,19900815,ENFJ,USA,Woman,Artist,I'm incredibly stubborn ... but I am very maternal too.
29,Dakota Fanning,19940223,ENFJ,USA,Woman,Artist,The greatest trait in a person is to put other people before yourself.
30,Emma Stone,19881106,ENFJ,USA,Woman,Artist,My least favorite type of person is a 'selective asshole' - a person who's a jerk to some people and nice to other people.
31,AnnaSophia Robb,19931208,ENFJ,USA,Woman,Artist,"She has an understanding of human beings. She can sense their sadness, sense that they need somebody, and [then be] that person."
32,Michael Moore,19540423,ENFJ,USA,Man,Artist,I knew that [those who predicted that no one would see my films] would be wrong because ... I have a sense of where people are in the country.
33,Zack de la Rocha,19700112,ENFJ,USA,Man,Artist,[When I] participated in [activism I] felt more community based. ... I was part of a collective voice and not on my own as an artist. Something about that attracted me.
34,James Lipton,19260919,ENFJ,USA,Man,Artist,"When you're talking about the thing that is most important to someone, they're liable to feel something strong."
35,Dr. Drew,19580904,ENFJ,USA,Man,Expert,I want to rescue everyone. ... I'd like everyone to be okay. I'd like to stop the suffering and discomfort in the world.
36,Rashida Jones,19760225,ENFJ,USA,Woman,Artist,I look for people with good hearts.
37,Hunter S. Thompson,19370718,ENFP,USA,Man,Author,"I was never idle long enough to do much thinking, but I felt somehow that my instincts were right."
38,Mark Twain,18351130,ENFP,USA,Man,Author,I must have a prodigious quantity of mind; it takes me as much as a week sometimes to make it up.
39,Oscar Wilde,18541016,ENFP,Ireland,Man,Author,I have the simplest tastes. I am always satisfied with the best.
40,Aldous Huxley,18940726,ENFP,UK,Man,Author,[I am not] the captain of my soul; I am only its noisiest passenger.
41,Umberto Eco,19320105,ENFP,Italy,Man,Scholar,[In my writing] I know that I have made a caricature out of [others' academic] theories [but] I think that caricatures are frequently good portraits.
42,Salman Rushdie,19470619,ENFP,India,Man,Author,"The Satanic Verses' celebrates hybridity, impurity, intermingling, the transformation that comes of new and unexpected combinations of human beings, cultures, ideas, politics, movies, songs."
43,Julian Assange,19710703,ENFP,Australia,Man,Author,"Every time we witness an act that we feel to be unjust and do not act, we become a party to injustice."
44,Ralph Nader,19340227,ENFP,USA,Man,Jurist,The only true aging is the erosion of one's ideals.
45,Anne Frank,19290612,ENFP,Germany,Woman,Author,"It's a wonder I haven't abandoned all my ideals, they seem so absurd and impractical. Yet I cling to them because I still believe, in spite of everything, that people are truly good at heart."
46,Arianna Huffington,19500715,ENFP,Greece,Woman,Author,"I'm passionate. I find if I really believe something, I want to put my entire being behind it."
47,Walt Disney,19011205,ENFP,USA,Man,Artist,"I do not make films primarily for children. I make them for the child in all of us, whether we be six or sixty."
48,Kurt Vonnegut,19221111,ENFP,USA,Man,Author,"[I write] intuitively, reflexively, as if skiing down a steep mountain slope with no time to think."
49,Osho,19311211,ENFP,India,Man,Scholar,It is beautiful that there are three hundred religions in the world; more are needed. ... Each person should have his own religion - there should be as many religions as there are people!
50,Naomi Klein,19700508,ENFP,Canada,Woman,Author,Anybody who claims that they know where this whole thing is all going is just lying.
51,Michio Kaku,19470124,ENFP,USA,Man,Scholar,To become a theoretical physicist ... you need to have a passionate love affair with the universe.
52,Brian Cox,19680303,ENFP,UK,Man,Scholar,What [I'm] attached to are journeys into the unknown and discovering things that are completely unexpected and baffling and surprising.
53,Jacques Derrida,19300715,ENFP,France,Man,Scholar,I love language as I love life itself!
54,Alan Watts,19150106,ENFP,UK,Man,Scholar,"Being brought up and 'educated' is a form of hypnosis, brainwashing, and indoctrination that is extremely difficult to survive with one's senses intact."
55,Milo Yiannopoulos,19841018,ENFP,UK,Man,Critic,"I'm an entertainer; I'm a performer. ... [What I do is] part lecture, part stand-up."
56,Anais Nin,19030221,ENFP,France,Woman,Author,"In [me] there's always movement, renewal, surprises. I have never known stagnation."
57,Andrew Yang,19750113,ENFP,USA,Man,Businessman,Humanity is more important than money. ... There's a saying ... 'what gets measured gets managed for.' We need to start measuring different things.
58,Che Guevara,19280614,ENFP,Argentina,Man,Politician,"If you tremble with indignation at every injustice, then you are a comrade of mine."
59,Fidel Castro,19260813,ENFP,Cuba,Man,Politician,Revolutionaries must proclaim their ideas courageously ... and express their intentions so that no one is deceived.
60,Muammar Gaddafi,19420607,ENFP,Libya,Man,Politician,Boxing and wrestling are evidence that mankind has not rid itself of all savage behavior.
61,Hugo Chavez,19540728,ENFP,Venezuela,Man,Politician,I didn't plan to become president. I am here because of a hurricane. I am the son of a revolution.
62,Ulrike Meinhof,19341007,ENFP,Germany,Woman,Author,[I provoke] the system [to] show its true face ... so that through its own acts of terrorism ... the masses will rise against it.
63,Salvador Dali,19890123,ENFP,Spain,Man,Artist,[I am a] contradictory and paradoxical man.
64,Orson Welles,19150506,ENFP,USA,Man,Artist,"[I have a] fondness for telling stories, like the Arab storytellers on the marketplace. ... I will never grow tired of [telling] stories [and] I make the mistake of thinking that everyone has the same enthusiasm!"
65,George Carlin,19370512,ENFP,USA,Man,Artist,"Inside every cynical person, there is a disappointed idealist."
66,Oliver Stone,19460915,ENFP,USA,Man,Artist,[When making movies I] set out to be authentic to [myself] and to put it down the way [I] feel it and know it and interpret it. And then others sometimes key into it and get it.
67,Katie Couric,19570107,ENFP,USA,Woman,Broadcaster,I knew I had to be a journalist because I'm deeply curious about the world.
68,Rachel Maddow,19730401,ENFP,USA,Woman,Broadcaster,I'm all about bringing the bad guy into sharper relief.
69,Ellen DeGeneres,19580126,ENFP,USA,Woman,Artist,"There's nothing I know for sure, because I know for sure that things change."
70,Ricky Gervais,19610625,ENFP,UK,Man,Artist,"I never had a plan. I just sort of ambled along, doing exactly what I wanted every day of my life."
71,Robin Williams,19510721,ENFP,USA,Man,Artist,I started doing comedy because that was the only stage that I could find. It was the pure idea of being on stage.
72,Jerry Seinfeld,19540429,ENFP,USA,Man,Artist,"To me, if life boils down to one thing, it's movement. To live is to keep moving."
73,Keira Knightley,19850326,ENFP,UK,Woman,Artist,The thing I love about acting is getting to change and look at different people in different lives and do different projects.
74,Jennifer Aniston,19690211,ENFP,USA,Woman,Artist,I love the unknown. I love the discovery of what will be happening.
75,Sandra Bullock,19640726,ENFP,USA,Woman,Artist,"I don't ever want to come home saying, 'I should have spoken my mind. I shouldn't have let someone say something that I didn't feel was right."
76,Jenna Elfman,19710930,ENFP,USA,Woman,Artist,Since I was born I wanted to entertain and communicate. I wanted to communicate so badly ... My sixth-grade math teacher taped my mouth. I'm still out to get her [for that]. It was very traumatizing!
77,Alicia Silverstone,19761004,ENFP,USA,Woman,Artist,"[I] educate people to be kinder to each other, and to other life-forms. There has been racism, sexism and now there is 'species-ism.' People think that they are better than other creatures."
78,Sarah Michelle Gellar,19770414,ENFP,USA,Woman,Artist,Being outspoken has always gotten me into trouble. I'm just this little thing and then all of a sudden it comes out.
79,Shailene Woodley,19911115,ENFP,USA,Woman,Artist,I have a tendency to talk extremely fast. ... I think the fastness comes from the fact that I get very excited about things and I just want to spit them out.
80,Daniel Radcliffe,19890723,ENFP,UK,Man,Artist,I have described myself as being 'gently eccentric.'
81,Jack White,19750709,ENFP,USA,Man,Artist,"Passion, for me, is like a shark - it never stops moving."
82,Gwen Stefani,19691003,ENFP,USA,Woman,Artist,I love that contradiction of being feminine but playing in the boys' treehouse. My whole life's been like that.
83,Sharon Stone,19580310,ENFP,USA,Woman,Artist,I think for a long time people just did not know what to do with me. I looked like a Barbie doll ... and I ... had ideas [that were unconventional and] that didn't make sense.
84,Philippe Jaroussky,19780213,ENFP,France,Man,Artist,"[I] want to keep something of childhood, the pure innocence."
85,James Mercer,19701226,ENFP,USA,Man,Artist,I tend to [have] a lot of ideas but then just leave them in that infant form and kind of move on.
86,Carly Rae Jepsen,19851121,ENFP,Canada,Woman,Artist,Life's too much fun to have it go in just one direction.
87,J.J. Abrams,19660627,ENFP,USA,Man,Artist,"What I love ... is a sense of unlimited possibility, the sense that life could bring you anything, that around every corner could be something amazing."
88,Ian McDiarmid,19440811,ENFP,UK,Man,Artist,"Serious work gets done ... in congenial surroundings, which tend to make you laugh."
89,Shia LaBeouf,19860611,ENFP,USA,Man,Artist,"When the ship is sinking and you're forced to choose sides, the new solution is to jump from island to island to island. You don't have to pick."
90,Joseph Gordon-Levitt,19810217,ENFP,USA,Man,Artist,Being willing to change what you think you know can introduce entirely new possibilities.
91,Amy Schumer,19810601,ENFP,USA,Woman,Artist,I never had any plan. I didn't even have a plan for performing. ... Even now ... I don't know what's going to happen.
92,Brie Larson,19891001,ENFP,USA,Woman,Artist,Life's not fun when you're serious all the time.
93,Hans Zimmer,19570912,ENFP,Germany,Man,Artist,Answers are usually boring. The answers should always ask the next question.
94,Napoleon Bonaparte,17690815,ENTJ,France,Man,Politician,An empty throne always tempts me.
95,Bill Gates,19551028,ENTJ,USA,Man,Businessman,Microsoft has had clear competitors in the past. It's a good thing we have museums to document that.
